Original,Filtered
-53096.34247992868,-3393.1531580249816
-53089.21100198999,-3355.8528161154513
-53102.10766783996,-3334.5519082318688
-53134.45615388332,-3332.113133554352
-53183.62625291971,-3349.1544672090054
-53247.5606345892,-3385.759836562884
-53326.51072507252,-3442.6725759499986
-53423.20584042951,-3521.4582693370357
-53541.41586204119,-3623.58697978458
-53683.52247690338,-3748.873149131278
-53848.1503165996,-3894.0399283760407
-54028.96078732885,-4052.211081519916
-54215.34362799845,-4213.846020810732
-54395.06387900203,-4369.105449024368
-54558.15967441003,-4511.041452158655
-54700.80251330236,-4638.557435384199
-54827.648575981664,-4757.956555697927
-54951.5223047839,-4882.172910618079
-55090.02053756291,-5027.409468806163
-55259.598423301686,-5207.720955940665
-55468.60029530138,-5428.834587658765
-55711.23668507191,-5682.951168815935
-55964.48699170252,-5946.2436528026565
-56189.28846820919,-6180.2323495523315
-56336.30076304542,-6337.279642657868
-56355.29366075317,-6369.3516129930285
-56206.14220378386,-6238.23909944206
-55868.83688002657,-5924.891710070148
-55350.00297300565,-5435.565617569109
-54684.173307410805,-4803.133441863884
-53929.28552128207,-4083.001354822503
-53157.259451322745,-3344.3482473757776
-52441.69248153991,-2658.517045090629
-51845.38289259272,-2087.060395785388
-51410.38664769411,-1672.0007259264146
-51152.6486878596,-1430.299883508923
-51062.10654949344,-1353.5012563341977
-51107.85398857076,-1412.2807954296911
-51246.81005677818,-1564.5383750649726
-51433.64465767685,-1764.9494864099674
-51629.61578850069,-1973.7370699250878
-51808.46213761762,-2162.820614916948
-51958.40251585241,-2318.315293443444
-52080.35691960784,-2439.348502131915
-52183.4357432141,-2534.0654711236443
-52279.31078532226,-2614.284561083712
-52377.167739570126,-2690.413106204589
-52480.56312856649,-2767.949823251322
-52586.81461380348,-2846.2991774834063
-52688.75925841854,-2919.899151131452
-52778.04963041947,-2981.0231162217256
-52848.79400030864,-3023.221738910808
-52900.36000252327,-3044.300893975062
-52938.51023786727,-3047.9686792874013
-52974.59329647783,-3043.7301075697546
-53023.095793248576,-3045.118997266973
-53098.30196590974,-3066.7905948074153
-53210.99497413326,-3121.2525751521875
-53366.044641953136,-3216.0451572179836
-53561.41692969482,-3352.015362126151
-53788.728134439625,-3523.034739426736
-54035.081162355,-3717.1724291328833
-54285.66481901592,-3919.0364858020575
-54526.51550819354,-4112.789254709877
